name,category,rating,review_count,address,phone,website,google_maps_url
Naan Staap®,Halal restaurant,4.4,,97 New Rd,,,https://www.google.com/maps/place/Naan+Staap%C2%AE/data=!4m7!3m6!1s0x48761d006976c419:0x71fc22e486d149ee!8m2!3d51.5173748!4d-0.062714!16s%2Fg%2F11pb216x_y!19sChIJGcR2aQAddkgR7knRhuQi_HE?authuser=0&hl=en&rclk=1
Shabab,Pakistani restaurant,4.4,,33 Uxbridge Rd,,,https://www.google.com/maps/place/Shabab/data=!4m7!3m6!1s0x48760fd194914cb7:0x2f170655002a8f97!8m2!3d51.5057268!4d-0.2281012!16s%2Fg%2F1yh9tsqf5!19sChIJt0yRlNEPdkgRl48qAFUGFy8?authuser=0&hl=en&rclk=1
Miran Masala,Pakistani restaurant,4.4,,3 Hammersmith Rd,,,https://www.google.com/maps/place/Miran+Masala/data=!4m7!3m6!1s0x48760feb02c3fa8d:0x9085edb67b523595!8m2!3d51.4958417!4d-0.2081985!16s%2Fg%2F1tg_l34k!19sChIJjfrDAusPdkgRlTVSe7bthZA?authuser=0&hl=en&rclk=1
Royal Mahal,Pakistani restaurant,4.5,,32-36 Upper Tooting Rd,,,https://www.google.com/maps/place/Royal+Mahal/data=!4m7!3m6!1s0x4876055124e622a5:0xd29973fa7d525c0f!8m2!3d51.4350103!4d-0.1614406!16s%2Fg%2F11kzgyy5jf!19sChIJpSLmJFEFdkgRD1xSffpzmdI?authuser=0&hl=en&rclk=1
Shah Tandoori,Indian restaurant,4.7,,159 Drummond St,,,https://www.google.com/maps/place/Shah+Tandoori/data=!4m7!3m6!1s0x48761b26344468cf:0x4c3a229b9e296e7c!8m2!3d51.526498!4d-0.138152!16s%2Fg%2F1vfn6424!19sChIJz2hENCYbdkgRfG4pnpsiOkw?authuser=0&hl=en&rclk=1
Meraz,Pakistani restaurant,4.6,,56 Hanbury St,,,https://www.google.com/maps/place/Meraz/data=!4m7!3m6!1s0x48761cb5fd76a2bd:0x7d565d972f273cff!8m2!3d51.5202556!4d-0.070975!16s%2Fg%2F1tdc03m2!19sChIJvaJ2_bUcdkgR_zwnL5ddVn0?authuser=0&hl=en&rclk=1
MIRAN MASALA Fine Punjabi cuisine,Pakistani restaurant,4.9,,54 Porchester Rd,,,https://www.google.com/maps/place/MIRAN+MASALA+Fine+Punjabi+cuisine/data=!4m7!3m6!1s0x487611844be226c1:0x799218bc903db592!8m2!3d51.5181992!4d-0.1888183!16s%2Fg%2F11w4rvk0m8!19sChIJwSbiS4QRdkgRkrU9kLwYknk?authuser=0&hl=en&rclk=1
Babuji,Pakistani restaurant,4.7,,343 Kentish Town Rd,,,https://www.google.com/maps/place/Babuji/data=!4m7!3m6!1s0x48761bbb0862ad6d:0xc0a7bf5f18a29116!8m2!3d51.5505886!4d-0.1408594!16s%2Fg%2F11h00013m5!19sChIJba1iCLsbdkgRFpGiGF-_p8A?authuser=0&hl=en&rclk=1
Dishoom Shoreditch,Indian restaurant,4.8,,7 Boundary St,,,https://www.google.com/maps/place/Dishoom+Shoreditch/data=!4m7!3m6!1s0x48761cba02358bc5:0xe77da8b93c776df8!8m2!3d51.5245002!4d-0.0765998!16s%2Fg%2F1hf08nz33!19sChIJxYs1ArocdkgR-G13PLmofec?authuser=0&hl=en&rclk=1
The Sitara,Punjabi restaurant,4.8,,784 Holloway Rd,,,https://www.google.com/maps/place/The+Sitara/data=!4m7!3m6!1s0x48761bae5667bf15:0xfdd7e2f533a4765f!8m2!3d51.5649805!4d-0.1326458!16s%2Fg%2F1vlqppnm!19sChIJFb9nVq4bdkgRX3akM_Xi1_0?authuser=0&hl=en&rclk=1
Feast and Mishti,Bangladeshi restaurant,3.5,,247 Whitechapel Rd,,,https://www.google.com/maps/place/Feast+and+Mishti/data=!4m7!3m6!1s0x48761ccdc6e1e8e9:0xf195fc93494b1ee4!8m2!3d51.5191562!4d-0.0607814!16s%2Fg%2F1hc243mlp!19sChIJ6ejhxs0cdkgR5B5LSZP8lfE?authuser=0&hl=en&rclk=1
Salaam Namaste,Pakistani restaurant,4.2,,68 Millman St,,,https://www.google.com/maps/place/Salaam+Namaste/data=!4m7!3m6!1s0x48761b37da470995:0x35bfe1f633b74efe!8m2!3d51.5236074!4d-0.1178445!16s%2Fg%2F1thlmkjh!19sChIJlQlH2jcbdkgR_k63M_bhvzU?authuser=0&hl=en&rclk=1
Peri Fellas,Pakistani restaurant,4.6,,2 Greycoat Pl,,,https://www.google.com/maps/place/Peri+Fellas/data=!4m7!3m6!1s0x48760556dc2b87e5:0x45959ff910600d63!8m2!3d51.4965288!4d-0.1339844!16s%2Fg%2F11sjtnry2s!19sChIJ5Ycr3FYFdkgRYw1gEPmflUU?authuser=0&hl=en&rclk=1
The Mughal's Indian Restaurant (Paddington),Pakistani restaurant,4.8,,11 London St,,,https://www.google.com/maps/place/The+Mughal%27s+Indian+Restaurant+%28Paddington%29/data=!4m7!3m6!1s0x48761ab2cf24aa69:0x41d27f4f9be05d4a!8m2!3d51.5154146!4d-0.1744195!16s%2Fg%2F1tcxp4jv!19sChIJaaokz7IadkgRSl3gm09_0kE?authuser=0&hl=en&rclk=1
Bundu Khan,Pakistani restaurant,,,12-20 Osborn St,,,https://www.google.com/maps/place/Bundu+Khan/data=!4m7!3m6!1s0x48761cb4fd5a60b3:0xe8282c76d19f64f0!8m2!3d51.5167421!4d-0.0699906!16s%2Fg%2F1thtcm99!19sChIJs2Ba_bQcdkgR8GSf0XYsKOg?authuser=0&hl=en&rclk=1
Graam Bangla,Bangladeshi restaurant,4.7,,68 Brick Ln,,,https://www.google.com/maps/place/Graam+Bangla/data=!4m7!3m6!1s0x48761cb5e652349d:0xca45b6cb1f75d666!8m2!3d51.5188667!4d-0.0714707!16s%2Fg%2F1ts_62b6!19sChIJnTRS5rUcdkgRZtZ1H8u2Rco?authuser=0&hl=en&rclk=1
Spice Grills,Pakistani restaurant,4.8,,4 Shepherds Bush Rd,,,https://www.google.com/maps/place/Spice+Grills/data=!4m7!3m6!1s0x48760fc57bd3f869:0x1223e26e6b8be180!8m2!3d51.5029067!4d-0.2232607!16s%2Fg%2F1tfzwzm7!19sChIJafjTe8UPdkgRgOGLa27iIxI?authuser=0&hl=en&rclk=1
Preem Brick Lane,Indian restaurant,4.7,,"120, 122 Brick Ln",,,https://www.google.com/maps/place/Preem+Brick+Lane/data=!4m7!3m6!1s0x48761cb5e032ce61:0xa2e6f3784ab2cf4e!8m2!3d51.5201943!4d-0.0717318!16s%2Fg%2F11c6qs332q!19sChIJYc4y4LUcdkgRTs-ySnjz5qI?authuser=0&hl=en&rclk=1
Shahi Zaika,Pakistani restaurant,4.3,,165 Merton Rd,,,https://www.google.com/maps/place/Shahi+Zaika/data=!4m7!3m6!1s0x48760f2e23aaac6b:0x1a08496bf2aaa97b!8m2!3d51.4507571!4d-0.1985493!16s%2Fg%2F11gjt24lvf!19sChIJa6yqIy4PdkgRe6mq8mtJCBo?authuser=0&hl=en&rclk=1
Afghan Kitchen,Afghan restaurant,4.4,,35 Islington Grn,,,https://www.google.com/maps/place/Afghan+Kitchen/data=!4m7!3m6!1s0x48761b5d7f949f69:0x8c807fd2c7bbfea1!8m2!3d51.5357842!4d-0.1029881!16s%2Fg%2F1yglpxztv!19sChIJaZ-Uf10bdkgRof67x9J_gIw?authuser=0&hl=en&rclk=1
Namaaste Kitchen,Pakistani restaurant,4.3,,64 Parkway,,,https://www.google.com/maps/place/Namaaste+Kitchen/data=!4m7!3m6!1s0x48761ae0ea5c5303:0xeb780e9e8a8c4dd7!8m2!3d51.537991!4d-0.145004!16s%2Fg%2F1tgpmhw2!19sChIJA1Nc6uAadkgR102Mip4OeOs?authuser=0&hl=en&rclk=1
Chatkhara Restaurant,Pakistani restaurant,4.0,,84 Walworth Rd,,,https://www.google.com/maps/place/Chatkhara+Restaurant/data=!4m7!3m6!1s0x4876049f47f2faad:0xc118a1ac7e12a217!8m2!3d51.4928208!4d-0.0988256!16s%2Fg%2F1tdwjz_6!19sChIJrfryR58EdkgRF6ISfqyhGME?authuser=0&hl=en&rclk=1
Blossom By Khans,Pakistani restaurant,4.8,,159 Lavender Hill,,,https://www.google.com/maps/place/Blossom+By+Khans/data=!4m7!3m6!1s0x487605a3796b5127:0x5645cbda72f35f87!8m2!3d51.4648421!4d-0.158767!16s%2Fg%2F1wyc3tgm!19sChIJJ1FreaMFdkgRh1_zctrLRVY?authuser=0&hl=en&rclk=1
Zaffrani,Indian restaurant,4.5,,47 Cross St,,,https://www.google.com/maps/place/Zaffrani/data=!4m7!3m6!1s0x48761b66dd1a5a0b:0xff4968a2d8aa6be7!8m2!3d51.5391685!4d-0.1012661!16s%2Fg%2F1tj7_g5j!19sChIJC1oa3WYbdkgR52uq2KJoSf8?authuser=0&hl=en&rclk=1
Punjab Restaurant,Indian restaurant,4.3,,80 Neal St,,,https://www.google.com/maps/place/Punjab+Restaurant/data=!4m7!3m6!1s0x48761b32d462063b:0xf4cf9b277316dff4!8m2!3d51.5151154!4d-0.1265625!16s%2Fg%2F1tj5kmx2!19sChIJOwZi1DIbdkgR9N8Wcyebz_Q?authuser=0&hl=en&rclk=1
Aladin Indian Restaurant - Brick Lane's Award-Winning Curry House,Indian restaurant,4.8,,132 Brick Ln,,,https://www.google.com/maps/place/Aladin+Indian+Restaurant+-+Brick+Lane%27s+Award-Winning+Curry+House/data=!4m7!3m6!1s0x48761cb60b578cfd:0x87ba7e71414567ed!8m2!3d51.5206058!4d-0.0717396!16s%2Fg%2F1hc2llkwx!19sChIJ_YxXC7YcdkgR7WdFQXF-uoc?authuser=0&hl=en&rclk=1
Lahore Express London,Indian restaurant,3.3,,265 Bethnal Grn Rd,,,https://www.google.com/maps/place/Lahore+Express+London/data=!4m7!3m6!1s0x48761cc60dcb8579:0x8932dd4875057dd1!8m2!3d51.5264311!4d-0.0660624!16s%2Fg%2F1tfg2ky7!19sChIJeYXLDcYcdkgR0X0FdUjdMok?authuser=0&hl=en&rclk=1
Machan Kitchen - Sri Lankan Restaurant,Pakistani restaurant,4.8,,171 Farringdon Rd,,,https://www.google.com/maps/place/Machan+Kitchen+-+Sri+Lankan+Restaurant/data=!4m7!3m6!1s0x48761b64e3b44fd5:0x6a05533987a4a950!8m2!3d51.5244615!4d-0.1101362!16s%2Fg%2F11j_7x6tm4!19sChIJ1U-042QbdkgRUKmkhzlTBWo?authuser=0&hl=en&rclk=1
Gifto’s,Pakistani restaurant,4.3,,162-164 The Broadway,,,https://www.google.com/maps/place/Gifto%E2%80%99s/data=!4m7!3m6!1s0x487672a99aea0be9:0x5db8adccce24b0b!8m2!3d51.5123596!4d-0.3835071!16s%2Fg%2F1tczjzqm!19sChIJ6QvqmqlydkgRC0vizNyK2wU?authuser=0&hl=en&rclk=1
Cafe Tiffin,Indian restaurant,4.8,,69 Compton St,,,https://www.google.com/maps/place/Cafe+Tiffin/data=!4m7!3m6!1s0x48761b5089056d47:0x83e2fb75a659d29!8m2!3d51.5246062!4d-0.1025542!16s%2Fg%2F1wb8t5b7!19sChIJR20FiVAbdkgRKZ1lWrcvPgg?authuser=0&hl=en&rclk=1
Khan's of Kensington,Indian restaurant,4.7,,3 Harrington Rd,,,https://www.google.com/maps/place/Khan%27s+of+Kensington/data=!4m7!3m6!1s0x48760542a714078d:0xd29fd77a2c6a796a!8m2!3d51.4939481!4d-0.1750506!16s%2Fg%2F1tdkg3kb!19sChIJjQcUp0IFdkgRanlqLHrXn9I?authuser=0&hl=en&rclk=1
Sheba Brick Lane - Awarded Best Curry House In UK,Indian restaurant,4.7,,136 Brick Ln,,,https://www.google.com/maps/place/Sheba+Brick+Lane+-+Awarded+Best+Curry+House+In+UK/data=!4m7!3m6!1s0x48761cb60c7a1931:0xc755ac201034d1b7!8m2!3d51.5206625!4d-0.0717127!16s%2Fg%2F1tgnwq71!19sChIJMRl6DLYcdkgRt9E0ECCsVcc?authuser=0&hl=en&rclk=1
Muhib’s best in brick lane,Indian restaurant,4.8,,73 Brick Ln,,,https://www.google.com/maps/place/Muhib%E2%80%99s+best+in+brick+lane/data=!4m7!3m6!1s0x48761cb6422a6bef:0xe40c71eba6175904!8m2!3d51.5200656!4d-0.0719731!16s%2Fg%2F1tksmvpc!19sChIJ72sqQrYcdkgRBFkXputxDOQ?authuser=0&hl=en&rclk=1
Yatri Indian Restaurant,Indian restaurant,4.8,,3-9 Chalton St,,,https://www.google.com/maps/place/Yatri+Indian+Restaurant/data=!4m7!3m6!1s0x48761b43998a8687:0x8d789919b41eed8e!8m2!3d51.5284794!4d-0.1290923!16s%2Fg%2F11fmpcmzqf!19sChIJh4aKmUMbdkgRju0etBmZeI0?authuser=0&hl=en&rclk=1
City Spice - Voted Best Indian Restaurant on Brick Lane,Pakistani restaurant,4.7,,138 Brick Ln,,,https://www.google.com/maps/place/City+Spice+-+Voted+Best+Indian+Restaurant+on+Brick+Lane/data=!4m7!3m6!1s0x48761cb63dd2ca87:0x97d56051ad73ee0!8m2!3d51.520689!4d-0.071769!16s%2Fg%2F1trtttc1!19sChIJh8rSPbYcdkgR4D7XGgVWfQk?authuser=0&hl=en&rclk=1
Bengal Village - Best of Brick Lane,Indian restaurant,4.7,,75 Brick Ln,,,https://www.google.com/maps/place/Bengal+Village+-+Best+of+Brick+Lane/data=!4m7!3m6!1s0x48761d256fc65415:0xb3dbf312f46e8ec2!8m2!3d51.5201203!4d-0.0720148!16s%2Fg%2F11s4fyfzmh!19sChIJFVTGbyUddkgRwo5u9BLz27M?authuser=0&hl=en&rclk=1
Bengal Tiger Shoreditch,Indian restaurant,4.6,,108-110 Old St,,,https://www.google.com/maps/place/Bengal+Tiger+Shoreditch/data=!4m7!3m6!1s0x48761d6f22ac17a5:0x7a1aedef5785330e!8m2!3d51.524769!4d-0.0930547!16s%2Fg%2F11t40jm3kr!19sChIJpResIm8ddkgRDjOFV-_tGno?authuser=0&hl=en&rclk=1
"1947 Restaurant, Bar & Pizza Kitchen",Indian restaurant,4.7,,38 Middlesex St,,,"https://www.google.com/maps/place/1947+Restaurant,+Bar+%26+Pizza+Kitchen/data=!4m7!3m6!1s0x48761d3008b85f59:0xdfb80235aa3254f3!8m2!3d51.515608!4d-0.0753117!16s%2Fg%2F11gwmh2nzg!19sChIJWV-4CDAddkgR81QyqjUCuN8?authuser=0&hl=en&rclk=1"
Khan's Restaurant,Indian restaurant,3.9,,13-15 Westbourne Grove,,,https://www.google.com/maps/place/Khan%27s+Restaurant/data=!4m7!3m6!1s0x487610002327c729:0x91215afc361da80b!8m2!3d51.515621!4d-0.189074!16s%2Fg%2F1tdkg3pw!19sChIJKccnIwAQdkgRC6gdNvxaIZE?authuser=0&hl=en&rclk=1
Ambassadors Clubhouse,Punjabi restaurant,4.6,,25 Heddon St,,,https://www.google.com/maps/place/Ambassadors+Clubhouse/data=!4m7!3m6!1s0x487605a451cf03f7:0x781e3108cadca757!8m2!3d51.5110982!4d-0.1397908!16s%2Fg%2F11w9k497wt!19sChIJ9wPPUaQFdkgRV6fcyggxHng?authuser=0&hl=en&rclk=1
Mumtaz Restaurant,Indian restaurant,3.7,,4-10 Park Rd,,,https://www.google.com/maps/place/Mumtaz+Restaurant/data=!4m7!3m6!1s0x48761ac62f20f591:0xe456536e3e7063f4!8m2!3d51.5249517!4d-0.1596923!16s%2Fg%2F1tdc03hg!19sChIJkfUgL8YadkgR9GNwPm5TVuQ?authuser=0&hl=en&rclk=1
Curry House,Pakistani restaurant,3.9,,43 Kilburn High Rd,,,https://www.google.com/maps/place/Curry+House/data=!4m7!3m6!1s0x48761074d13d887b:0xdbc6a4671500b4d4!8m2!3d51.5363149!4d-0.1916803!16s%2Fg%2F1tdy8k0f!19sChIJe4g90XQQdkgR1LQAFWekxts?authuser=0&hl=en&rclk=1
